Nr.;Datum;Modus;"Position(en) Anzahl";Position(en);"Position(en) USt %";Zahlungsart;"Netto €";"Steuer €";"Brutto €";"Trinkgeld €";Storniert;"Storno Nr.";Stornodatum;"Storno Brutto €";"Storno Trinkgeld €";Kunde;"Kunde - Adresse";KassiererIn;Umsatzzuweisung
19801;"2026-01-03 13:53:24";Normal;2;"Kunst: Green Tara 3 - Minikarte";19;Bar;2,52;0,48;3,00;0,00;Nein;;;;;;;"Shop Team";
19802;"2026-01-03 13:53:31";Normal;"1| 1| 1";"Latte Macchiato, Hafermilch, Milchkaffee";"19, 19, 19";Kreditkarte;5,88;1,12;7,00;0,00;Nein;;;;;;;"Café Team";
19803;"2026-01-03 13:57:58";Normal;"1| 1| 1";"Wrist Mala Steine/various  7206, Sadhana: Powa Zeremonie, Kunst: Avalokiteshvara (4-armig) 2 - Minikarte";"19, 7, 19";EC-Karte;15,27;2,23;17,50;0,00;Nein;;;;;;;"Shop Team";
19804;"2026-01-03 13:58:00";Normal;"2| 1";"Café Crema, Franzbrötchen, vegan";"19, 19";Bar;5,88;1,12;7,00;0,00;Nein;;;;;;;"Café Team";
19805;"2026-01-03 14:00:53";Normal;"1| 1| 1| 1";"Ariona Fruchtriegel, Feine Bitter 71% Cacao 80g, Vivani Deutschland / 100% Bio nach EU/VO, Samtbeutel, Buch Der Neue Führer ins Dakiniland";"7, 19, 19, 7";Bar;43,77;4,78;48,55;0,00;Nein;;;;;;;"Shop Team";
19806;"2026-01-03 14:08:09";Normal;1;"Lesezeichen rot";7;Bar;0,93;0,07;1,00;0,00;Nein;;;;;;;"Shop Team";
19807;"2026-01-03 14:08:40";Normal;1;"Filterkaffee  Tasse";19;Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19808;"2026-01-03 14:09:57";Normal;2;"Samenbomben - 1er";19;Bar;4,20;0,80;5,00;0,00;Nein;;;;;;;"Shop Team";
19809;"2026-01-03 14:18:46";Normal;1;"Notebook various 9425";19;Bar;4,20;0,80;5,00;0,00;Nein;;;;;;;"Shop Team";
19810;"2026-01-03 14:21:42";Normal;1;Cappuccino;19;Bar;2,52;0,48;3,00;0,00;Nein;;;;;;;"Café Team";
19811;"2026-01-03 14:22:37";Normal;1;Milchkaffee;19;Bar;2,94;0,56;3,50;0,00;Nein;;;;;;;"Café Team";
19812;"2026-01-03 14:25:42";Normal;"1| 2| 1";"Espresso Macchiatto, Cappuccino, Extra Shot";"19, 19, 19";Kreditkarte;7,98;1,52;9,50;0,00;Nein;;;;;;;"Café Team";
19813;"2026-01-03 14:26:52";Normal;"2| 2| 1";"Americano, Hafermilch, Cappuccino";"19, 19, 19";Kreditkarte;6,72;1,28;8,00;0,00;Nein;;;;;;;"Café Team";
19814;"2026-01-03 14:31:20";Normal;1;"Latte Macchiato";19;Bar;2,94;0,56;3,50;0,00;Nein;;;;;;;"Café Team";
19815;"2026-01-03 14:32:05";Normal;1;"Latte Macchiato";19;Bar;2,94;0,56;3,50;0,00;Nein;;;;;;;"Café Team";
19816;"2026-01-03 14:36:28";Normal;"1| 1| 1";"Americano, Koffeinfrei, Hafermilch";"19, 19, 19";Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19817;"2026-01-03 14:38:05";Normal;1;Americano;19;Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19818;"2026-01-03 14:41:38";Normal;1;Cappuccino;19;Kreditkarte;2,52;0,48;3,00;0,00;Nein;;;;;;;"Café Team";
19819;"2026-01-03 14:42:11";Normal;"1| 2";"Edelsteinbaum 78382 -+ 8cm, Kunst: Manjushri 2 - Minikarte";"19, 19";Bar;7,56;1,44;9,00;0,00;Nein;;;;;;;"Shop Team";
19820;"2026-01-03 14:46:05";Normal;"1| 1";"Cappuccino, Hafermilch";"19, 19";Bar;2,52;0,48;3,00;0,00;Nein;;;;;;;"Café Team";
19821;"2026-01-03 14:46:31";Normal;"1| 1| 1";"Latte Macchiato, Extra Shot, Hafermilch";"19, 19, 19";Bar;3,78;0,72;4,50;0,00;Nein;;;;;;;"Café Team";
19822;"2026-01-03 14:47:41";Normal;1;Americano;19;Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19823;"2026-01-03 14:49:45";Normal;"1| 1";"Halva 75g, Belugalinse Balsamico Aufstrich 135g, Nabio Deutschland";"7, 19";EC-Karte;5,07;0,63;5,70;0,00;Nein;;;;;;;"Shop Team";
19824;"2026-01-03 15:02:52";Normal;"1| 1";"Americano, Hafermilch";"19, 19";Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19825;"2026-01-03 15:09:29";Normal;"1| 1| 1| 1";"Espresso Doppio, Milchkaffee, Hafermilch, Franzbrötchen, vegan";"19, 19, 19, 19";EC-Karte;7,14;1,36;8,50;0,00;Nein;;;;;;;"Café Team";
19826;"2026-01-03 15:10:55";Normal;1;Cappuccino;19;Bar;2,52;0,48;3,00;0,00;Nein;;;;;;;"Café Team";
19827;"2026-01-03 15:21:47";Normal;1;Americano;19;Bar;2,10;0,40;2,50;0,00;Nein;;;;;;;"Café Team";
19828;"2026-01-04 09:47:19";Normal;3;"FFP2 Maske";19;Bar;7,56;1,44;9,00;0,00;Nein;;;;;;;"Shop Team";
19829;"2026-01-04 15:39:10";Normal;"1| 1| 1";"Buch Der Neue Führer ins Dakiniland, Sadhana: Der glückselige Pfad, Sadhana: Der Schnelle Pfad zur Grossen Glückseligkeit 2202";"7, 7, 7";Bar;45,74;3,21;48,95;0,00;Nein;;;;;;;"Shop Team";
19830;"2026-01-04 18:03:15";Normal;"1| 1| 1| 1| 1| 1";"Buch Der Neue Führer ins Dakiniland, Sadhana: Der Schnelle Pfad zur Grossen Glückseligkeit 2202, Sadhana: Powa Zeremonie, Notizbuch veer&moon 9407, Mandelkekse Schoko, glutenfrei 110g, Werz Deutschland, 7-Zwerge Kinder Saft 0,2Ltr, Voelkel Regional / Demeter";"7, 7, 7, 19, 19, 19";Bar;60,01;6,04;66,05;0,00;Nein;;;;;;;"Shop Team";
19831;"2026-01-05 10:23:47";Normal;1;"Buch Der Neue Führer ins Dakiniland";7;Bar;27,99;1,96;29,95;0,00;Nein;;;;;;;"Shop Team";
19832;"2026-01-05 12:27:14";Normal;1;"Buch Der Neue Führer ins Dakiniland";7;EC-Karte;27,99;1,96;29,95;0,00;Nein;;;;;;;"Shop Team";
